text,language,text_length,tokens
ଏଭଳ ପରସଥତର ଆଶ କରଯଏ ଯ ଯତବଳ ଦଳ 10 ସପଟମବରର ସରଜର ଶଷ ମୟଚ ଖଳବ ସତବଳ ଏହ ମରଡ ଏକ ବଜୟ ସହତ ଶଷ ହବ,or,126,"['ଏଭଳ', 'ପରସଥତର', 'ଆଶ', 'କରଯଏ', 'ଯ', 'ଯତବଳ', 'ଦଳ', '10', 'ସପଟମବରର', 'ସରଜର', 'ଶଷ', 'ମୟଚ', 'ଖଳବ', 'ସତବଳ', 'ଏହ', 'ମରଡ', 'ଏକ', 'ବଜୟ', 'ସହତ', 'ଶଷ', 'ହବ']"
हद आन करसतव लकमध ओतर वडल आन आन थडय वळत तयच उलवच रत सइत बदलल,kok,99,"['हद', 'आन', 'करसतव', 'लकमध', 'ओतर', 'वडल', 'आन', 'आन', 'थडय', 'वळत', 'तयच', 'उलवच', 'रत', 'सइत', 'बदलल']"
বল ভষর ইতহসক সধরণত তন ভগ ভগ কর হয পরচন বল ৯০০১০০০ ১৪০০ খরসটবদ চরযপদ ভকতমলক গন এই সমযকর লখত নদরশন,bn,145,"['বল', 'ভষর', 'ইতহসক', 'সধরণত', 'তন', 'ভগ', 'ভগ', 'কর', 'হয', 'পরচন', 'বল', '৯০০১০০০', '১৪০০', 'খরসটবদ', 'চরযপদ', 'ভকতমলক', 'গন', 'এই', 'সমযকর', 'লখত', 'নদরশন']"
ആദദരവഡ ഭഷയൽ നനന പരണമചച വനനതക മലയള,ml,53,"['ആദദരവഡ', 'ഭഷയൽ', 'നനന', 'പരണമചച', 'വനനതക', 'മലയള']"
درحقیقت ماہرین لسانیات ان دونوں زبانوں کو ایک ہی زبان کے حصے سمجھتے ہیں,ur,76,"['درحقیقت', 'ماہرین', 'لسانیات', 'ان', 'دونوں', 'زبانوں', 'کو', 'ایک', 'ہی', 'زبان', 'کے', 'حصے', 'سمجھتے', 'ہیں']"
تاہم دیگر ماہرین ان دونوں کو معاش اللسانی تفرقات کی بنیاد پر الگ الگ سمجھتے ہیں,ur,83,"['تاہم', 'دیگر', 'ماہرین', 'ان', 'دونوں', 'کو', 'معاش', 'اللسانی', 'تفرقات', 'کی', 'بنیاد', 'پر', 'الگ', 'الگ', 'سمجھتے', 'ہیں']"
ಈ ಎಫ ಪಒಗಳ ಮಲಕ ಫಲಪ ಕರಟ ಮತತ ರತರ ನಡವ ತಡರಹತವದ ವಯವಹರ ಸಲಭಯ ವಯವಸಥಯನನ ನರಮಣ ಮಡಲ ಫಲಪ ಕರಟ ಒತತ ನಡತತದ,kn,133,"['ಈ', 'ಎಫ', 'ಪಒಗಳ', 'ಮಲಕ', 'ಫಲಪ', 'ಕರಟ', 'ಮತತ', 'ರತರ', 'ನಡವ', 'ತಡರಹತವದ', 'ವಯವಹರ', 'ಸಲಭಯ', 'ವಯವಸಥಯನನ', 'ನರಮಣ', 'ಮಡಲ', 'ಫಲಪ', 'ಕರಟ', 'ಒತತ', 'ನಡತತದ']"
યકમ વદયરથઓ મટ જ,gu,28,"['યકમ', 'વદયરથઓ', 'મટ', 'જ']"
نہرو اوس ۱۹۲۹۱۹۳۰ تہ ۱۹۳۶۱۹۳۷ ہندوستٲنؠ قومی کانگریس سند صدر تہ کر ہندوستٲنؠ جنگہ آزادی منز انگریزی حۆکومتھ خلاف مہاتما گاندھی ستؠ تحریک,ks,168,"['نہرو', 'اوس', '۱۹۲۹۱۹۳۰', 'تہ', '۱۹۳۶۱۹۳۷', 'ہندوستٲنؠ', 'قومی', 'کانگریس', 'سند', 'صدر', 'تہ', 'کر', 'ہندوستٲنؠ', 'جنگہ', 'آزادی', 'منز', 'انگریزی', 'حۆکومتھ', 'خلاف', 'مہاتما', 'گاندھی', 'ستؠ', 'تحریک']"
ಇದಗ ಶಹನ ಚಡಮರತ ಅಪಪಳಸಲ ಸದಧವಗದ,kn,43,"['ಇದಗ', 'ಶಹನ', 'ಚಡಮರತ', 'ಅಪಪಳಸಲ', 'ಸದಧವಗದ']"
தமழநடடல பல இயறக வளஙகள தமழர கடடடக கல சறறம கவலகள மலததலஙகள கடலர ஓயவடஙகள பல சமயததனரன வழபடடத தலஙகள நறநதளளன எடட உலக பரமபரயக களஙகள தமழநடடல உளளன,ta,206,"['தமழநடடல', 'பல', 'இயறக', 'வளஙகள', 'தமழர', 'கடடடக', 'கல', 'சறறம', 'கவலகள', 'மலததலஙகள', 'கடலர', 'ஓயவடஙகள', 'பல', 'சமயததனரன', 'வழபடடத', 'தலஙகள', 'நறநதளளன', 'எடட', 'உலக', 'பரமபரயக', 'களஙகள', 'தமழநடடல', 'உளளன']"
இறதப பலலவ மனனன அபரசதன ஆவன,ta,37,"['இறதப', 'பலலவ', 'மனனன', 'அபரசதன', 'ஆவன']"
இதன ஆடசபபகத எலலகளக மறகலம வடககலம கரள கரநடகம மறறம ஆநதர மநலஙகள உளளன,ta,100,"['இதன', 'ஆடசபபகத', 'எலலகளக', 'மறகலம', 'வடககலம', 'கரள', 'கரநடகம', 'மறறம', 'ஆநதர', 'மநலஙகள', 'உளளன']"
க,ta,3,['க']
परतगज आयलय उपरत ककणत सबर बदल जल,kok,48,"['परतगज', 'आयलय', 'उपरत', 'ककणत', 'सबर', 'बदल', 'जल']"
ಬಗಳಕಲಲಯಲಲ ಉಟಗರವ ವಯಭರ ಕಸತದದ ರಜಯದಲಲ ಇನನ 4 ದನ ಮಳಯಗವ ಸಧಯತಯದ,kn,89,"['ಬಗಳಕಲಲಯಲಲ', 'ಉಟಗರವ', 'ವಯಭರ', 'ಕಸತದದ', 'ರಜಯದಲಲ', 'ಇನನ', '4', 'ದನ', 'ಮಳಯಗವ', 'ಸಧಯತಯದ']"
ଓଡଆ ଭଷ ଓଡଶର ପଖପଖ ଅନକ ରଜୟର କହଯଏ,or,50,"['ଓଡଆ', 'ଭଷ', 'ଓଡଶର', 'ପଖପଖ', 'ଅନକ', 'ରଜୟର', 'କହଯଏ']"
भरत मन न नटयशसतर म उन शबद क दश कह ह ज ससकत क ततसम एव सदभव रप स भनन ह,hi,103,"['भरत', 'मन', 'न', 'नटयशसतर', 'म', 'उन', 'शबद', 'क', 'दश', 'कह', 'ह', 'ज', 'ससकत', 'क', 'ततसम', 'एव', 'सदभव', 'रप', 'स', 'भनन', 'ह']"
পকসতনর করচ শহরর দবতয সরকর ভষ রপ বলক গরহণ কর হযছ,bn,75,"['পকসতনর', 'করচ', 'শহরর', 'দবতয', 'সরকর', 'ভষ', 'রপ', 'বলক', 'গরহণ', 'কর', 'হযছ']"
মতভষর সখযয বল ইনদইউরপয ভষ পরবরর পঞচম৯ ও মট বযবহরকরর সখয অনসর বল বশবর ষষঠ বহততম ভষ,bn,129,"['মতভষর', 'সখযয', 'বল', 'ইনদইউরপয', 'ভষ', 'পরবরর', 'পঞচম৯', 'ও', 'মট', 'বযবহরকরর', 'সখয', 'অনসর', 'বল', 'বশবর', 'ষষঠ', 'বহততম', 'ভষ']"
य न पछ गएर सनध घटक सभयतम वकसत भय जन २६०० ईप र १९०० ईपक बचम वकसत अवसथम थय,ne,107,"['य', 'न', 'पछ', 'गएर', 'सनध', 'घटक', 'सभयतम', 'वकसत', 'भय', 'जन', '२६००', 'ईप', 'र', '१९००', 'ईपक', 'बचम', 'वकसत', 'अवसथम', 'थय']"
ଜଳ ସମପଦ ସମ ବବଦ ଶକତ ସହ ନକସଲ ପରସଙଗର ଆଲଚନ ହଇ ମତର କଇ ମନଟ ମଧୟର ଏହ ଆଲଚନ ଶଷ ହଇଛ,or,104,"['ଜଳ', 'ସମପଦ', 'ସମ', 'ବବଦ', 'ଶକତ', 'ସହ', 'ନକସଲ', 'ପରସଙଗର', 'ଆଲଚନ', 'ହଇ', 'ମତର', 'କଇ', 'ମନଟ', 'ମଧୟର', 'ଏହ', 'ଆଲଚନ', 'ଶଷ', 'ହଇଛ']"
रज कसदवरयचय करकरदत करलल अकष शललख ह आजवर सपडलल मरठ भषतल परणतम शललख आह सदरभ हव,mr,114,"['रज', 'कसदवरयचय', 'करकरदत', 'करलल', 'अकष', 'शललख', 'ह', 'आजवर', 'सपडलल', 'मरठ', 'भषतल', 'परणतम', 'शललख', 'आह', 'सदरभ', 'हव']"
১৯৮৭ সলর বল ভষ পরচলন আইন বলদশর সকল রষটরয কজ বলর বযবহর বধযতমলক কর হযছ,bn,102,"['১৯৮৭', 'সলর', 'বল', 'ভষ', 'পরচলন', 'আইন', 'বলদশর', 'সকল', 'রষটরয', 'কজ', 'বলর', 'বযবহর', 'বধযতমলক', 'কর', 'হযছ']"
ਪਜਬ ਦ ਕਈ ਰਪ ਹਨ ਜਵ ਕ ਪਛਮ ਪਜਬ ਵਚ ਲਹਦ ਅਤ ਪਰਬ ਪਜਬ ਵਚ ਸਰਇਕ ਹਦਕ ਮਝ ਪਠਹਰ ਪਰ ਇਹ ਪਜਬ ਦ ਸਹਮਣ ਨਗਣ ਜਹ ਹ ਹਨ,pa,148,"['ਪਜਬ', 'ਦ', 'ਕਈ', 'ਰਪ', 'ਹਨ', 'ਜਵ', 'ਕ', 'ਪਛਮ', 'ਪਜਬ', 'ਵਚ', 'ਲਹਦ', 'ਅਤ', 'ਪਰਬ', 'ਪਜਬ', 'ਵਚ', 'ਸਰਇਕ', 'ਹਦਕ', 'ਮਝ', 'ਪਠਹਰ', 'ਪਰ', 'ਇਹ', 'ਪਜਬ', 'ਦ', 'ਸਹਮਣ', 'ਨਗਣ', 'ਜਹ', 'ਹ', 'ਹਨ']"
તયરબદ વરષ ૧૮૧૬મ અમરકન કગરસ દશન બજ મધયસથ બકન બકનટ બહર પડવન સતત આપ જ કમ તમણ ૧૮૪૧ સધ ચલ રખય,gu,137,"['તયરબદ', 'વરષ', '૧૮૧૬મ', 'અમરકન', 'કગરસ', 'દશન', 'બજ', 'મધયસથ', 'બકન', 'બકનટ', 'બહર', 'પડવન', 'સતત', 'આપ', 'જ', 'કમ', 'તમણ', '૧૮૪૧', 'સધ', 'ચલ', 'રખય']"
اسلام چھہ اکھہ توحیدؠ تہ ابراہیمؠ مزہب,ks,48,"['اسلام', 'چھہ', 'اکھہ', 'توحیدؠ', 'تہ', 'ابراہیمؠ', 'مزہب']"
తలగ లపన బదధల వరతకల ఆగనయ ఆసయ పరతలక అదచసర,te,66,"['తలగ', 'లపన', 'బదధల', 'వరతకల', 'ఆగనయ', 'ఆసయ', 'పరతలక', 'అదచసర']"
আহম ৰজযত বৰঞজ লখবৰ বব অসময ভষ আৰ লপৰ বযৱহৰ কৰ হছল,as,74,"['আহম', 'ৰজযত', 'বৰঞজ', 'লখবৰ', 'বব', 'অসময', 'ভষ', 'আৰ', 'লপৰ', 'বযৱহৰ', 'কৰ', 'হছল']"
आनक एक भयलयच जत आस सदद,kok,34,"['आनक', 'एक', 'भयलयच', 'जत', 'आस', 'सदद']"
जनसखयदषटय एष वशव दवतय सथन वदयत,sa,52,"['जनसखयदषटय', 'एष', 'वशव', 'दवतय', 'सथन', 'वदयत']"
সসকতত পৰষ তনট অসমযত পৰষ চৰট,as,45,"['সসকতত', 'পৰষ', 'তনট', 'অসমযত', 'পৰষ', 'চৰট']"
थदय लकन वह सगल क ककण एक वगळ भस नहइ पण मरठच एक बल आस,kok,84,"['थदय', 'लकन', 'वह', 'सगल', 'क', 'ककण', 'एक', 'वगळ', 'भस', 'नहइ', 'पण', 'मरठच', 'एक', 'बल', 'आस']"
,ta,0,[]
ट वरगक पच अकषर ट ठ ड ढ णअरध णअननसक वरण मरधनय उचचरण,ne,72,"['ट', 'वरगक', 'पच', 'अकषर', 'ट', 'ठ', 'ड', 'ढ', 'णअरध', 'णअननसक', 'वरण', 'मरधनय', 'उचचरण']"
२० आन ४४,kok,10,"['२०', 'आन', '४४']"
توشہ خانی فاروق عبدالله کٲشر تلفظ چھ اکھ ہندوستٲنؠ سیاست دان یس چھ جۆم تہ کشیر قومی کانفرینس سند صدر,ks,119,"['توشہ', 'خانی', 'فاروق', 'عبدالله', 'کٲشر', 'تلفظ', 'چھ', 'اکھ', 'ہندوستٲنؠ', 'سیاست', 'دان', 'یس', 'چھ', 'جۆم', 'تہ', 'کشیر', 'قومی', 'کانفرینس', 'سند', 'صدر']"
ہندوستان شمٲلی دیصی پروتراج حیمالے چھ جنوبی سینڈ محاساگر ہندوستان پؠٹھ نیپال تبت چین ملک پصچیمع پٲکستان پروع چھ برما تہ جنوبی سری لنکا ملک,ks,170,"['ہندوستان', 'شمٲلی', 'دیصی', 'پروتراج', 'حیمالے', 'چھ', 'جنوبی', 'سینڈ', 'محاساگر', 'ہندوستان', 'پؠٹھ', 'نیپال', 'تبت', 'چین', 'ملک', 'پصچیمع', 'پٲکستان', 'پروع', 'چھ', 'برما', 'تہ', 'جنوبی', 'سری', 'لنکا', 'ملک']"
ન લડનમ ગજરત ચથ કરમ સથ વધ બલત ભષ છ,gu,53,"['ન', 'લડનમ', 'ગજરત', 'ચથ', 'કરમ', 'સથ', 'વધ', 'બલત', 'ભષ', 'છ']"
શબદન અતમ ə અ દર થવ એ મટ ધવનશસતરય ફરફર હત જથ આધનક ગજરતમ વયજનનત શબદ છ,gu,104,"['શબદન', 'અતમ', 'ə', 'અ', 'દર', 'થવ', 'એ', 'મટ', 'ધવનશસતરય', 'ફરફર', 'હત', 'જથ', 'આધનક', 'ગજરતમ', 'વયજનનત', 'શબદ', 'છ']"
स,mr,1,['स']
8 മല എനന പദവ ആൾ ആളക എനന നപസകപദവ ചർനന സനധനയമമനസരചച വടവടകകൻ യകര ചർനനമണ മലയള ഉണടയതനന കരതനന,ml,134,"['8', 'മല', 'എനന', 'പദവ', 'ആൾ', 'ആളക', 'എനന', 'നപസകപദവ', 'ചർനന', 'സനധനയമമനസരചച', 'വടവടകകൻ', 'യകര', 'ചർനനമണ', 'മലയള', 'ഉണടയതനന', 'കരതനന']"
modern english has been spreading around the world since the 17th century by the worldwide influence of the british empire and the united states,en,144,"['modern', 'english', 'has', 'been', 'spreading', 'around', 'the', 'world', 'since', 'the', '17th', 'century', 'by', 'the', 'worldwide', 'influence', 'of', 'the', 'british', 'empire', 'and', 'the', 'united', 'states']"
,en,0,[]
અમરકન કરતયદધ દરમયન યદધન નણકય જરરયત પર કરવન હતથ કનટનનટલ કગરસ દવર કનટનનટલ બકનટ ફરત કરવમ આવ,gu,144,"['અમરકન', 'કરતયદધ', 'દરમયન', 'યદધન', 'નણકય', 'જરરયત', 'પર', 'કરવન', 'હતથ', 'કનટનનટલ', 'કગરસ', 'દવર', 'કનટનનટલ', 'બકનટ', 'ફરત', 'કરવમ', 'આવ']"
کول محی الدین حاجنی پی,ks,25,"['کول', 'محی', 'الدین', 'حاجنی', 'پی']"
ગજરત ભષન પરચલત રત નચન તરણ ઐતહસક તબકકઓમ વહચવમ આવ છ,gu,77,"['ગજરત', 'ભષન', 'પરચલત', 'રત', 'નચન', 'તરણ', 'ઐતહસક', 'તબકકઓમ', 'વહચવમ', 'આવ', 'છ']"
മലയളതതൽ ആ പഴമ ഇനന സജവമണ,ml,34,"['മലയളതതൽ', 'ആ', 'പഴമ', 'ഇനന', 'സജവമണ']"
ह लख एक ओबडधबड शळवर करल असन तय शळच मथयवर चदरसरय आण मजकरखल गदधगळ व शवट पनह चदरसरय अस करवकमच सवरप आह,mr,149,"['ह', 'लख', 'एक', 'ओबडधबड', 'शळवर', 'करल', 'असन', 'तय', 'शळच', 'मथयवर', 'चदरसरय', 'आण', 'मजकरखल', 'गदधगळ', 'व', 'शवट', 'पनह', 'चदरसरय', 'अस', 'करवकमच', 'सवरप', 'आह']"
યરપન દશમ ચદમ સદમ વનમયન મધયમ તરક બકનટ દખલ કરવમ આવ અન સતતરમ સદમ ત તન વયવસથત રત વયવહર થવ લગય,gu,138,"['યરપન', 'દશમ', 'ચદમ', 'સદમ', 'વનમયન', 'મધયમ', 'તરક', 'બકનટ', 'દખલ', 'કરવમ', 'આવ', 'અન', 'સતતરમ', 'સદમ', 'ત', 'તન', 'વયવસથત', 'રત', 'વયવહર', 'થવ', 'લગય']"
202122ನ ಸಲನ ಚಕಕಬಳಳಪರ ತಟಗರಕ ಇಲಖಯಲಲ ಅನಷಠನಗಳಸತತರವ ತಟಗರಕ ಇಲಖಯ ವವಧ ಯಜನಗಳಡ ಹಣಣಗಳ ತರಕರ ಹವ ಬಳಗಳ ಹಸತಟ ಪರದಶ ವಸತರಣ ಪನಸಛತನ ಸರಕಷತ ಬಸಯದಡ ಪಲಹಸ ಹದಕ ಯತರಕರಣ ನರ ಸಗರಹಣ ಘಟಕಗಳಗ ಕಯಲತತರ ನರವಹಣ ಘಟಕಗಳದ ಪಯಕ ಹಸ ಇತರ ಯಜನಗಳಡಯಲಲ ಜನ ಕಷ ಕರಯಕರಮದಡಯಲಲ ಸಹಯಧನ ನಡಲ ಅರಜ ಆಹವನಸಲಗದ,kn,365,"['202122ನ', 'ಸಲನ', 'ಚಕಕಬಳಳಪರ', 'ತಟಗರಕ', 'ಇಲಖಯಲಲ', 'ಅನಷಠನಗಳಸತತರವ', 'ತಟಗರಕ', 'ಇಲಖಯ', 'ವವಧ', 'ಯಜನಗಳಡ', 'ಹಣಣಗಳ', 'ತರಕರ', 'ಹವ', 'ಬಳಗಳ', 'ಹಸತಟ', 'ಪರದಶ', 'ವಸತರಣ', 'ಪನಸಛತನ', 'ಸರಕಷತ', 'ಬಸಯದಡ', 'ಪಲಹಸ', 'ಹದಕ', 'ಯತರಕರಣ', 'ನರ', 'ಸಗರಹಣ', 'ಘಟಕಗಳಗ', 'ಕಯಲತತರ', 'ನರವಹಣ', 'ಘಟಕಗಳದ', 'ಪಯಕ', 'ಹಸ', 'ಇತರ', 'ಯಜನಗಳಡಯಲಲ', 'ಜನ', 'ಕಷ', 'ಕರಯಕರಮದಡಯಲಲ', 'ಸಹಯಧನ', 'ನಡಲ', 'ಅರಜ', 'ಆಹವನಸಲಗದ']"
খষটয পঞচম শতকৰ পৰ দবদশ শতকলক পৰচন কমৰপ ৰজযত ৰজতব কৰ হনদ ৰজসকলৰ তমৰফলসমহতই পৰচন অসময লখত সহতযৰ নদৰশন পৱ যয,as,156,"['খষটয', 'পঞচম', 'শতকৰ', 'পৰ', 'দবদশ', 'শতকলক', 'পৰচন', 'কমৰপ', 'ৰজযত', 'ৰজতব', 'কৰ', 'হনদ', 'ৰজসকলৰ', 'তমৰফলসমহতই', 'পৰচন', 'অসময', 'লখত', 'সহতযৰ', 'নদৰশন', 'পৱ', 'যয']"
